"","G","AB","R","H","2B","3B","HR","TB","RBI","SB","CS","BB","HBP","SO","GDP","E","OPS"
"1",50,183,27,62,9,0,8,95,34,5,0,9,8,25,3,9,0.902
"2",41,86,11,19,2,3,1,30,7,0,0,13,2,28,1,6,0.686
"3",120,311,50,80,7,4,2,101,27,4,3,40,5,58,3,15,0.673
"4",46,101,16,16,3,2,1,26,7,0,0,8,2,30,5,7,0.489
"5",59,84,17,18,2,1,0,22,4,1,1,8,1,19,1,4,0.552
"6",77,245,42,68,11,1,5,96,27,6,3,38,4,59,7,2,0.774
"7",39,63,9,8,2,0,0,10,3,1,2,7,4,15,1,3,0.415486915486915
"8",37,36,6,5,2,0,0,7,0,1,0,8,2,14,0,4,0.520531400966184
"9",38,51,7,9,2,0,0,11,3,1,1,7,2,13,1,0,0.515686274509804
"10",33,52,3,12,1,0,0,13,3,3,0,6,3,20,0,1,0.594262295081967
"11",95,281,21,68,7,0,4,87,20,2,0,20,6,44,7,6,0.6157974660067
"12",88,253,12,68,14,1,2,90,22,1,1,14,0,44,10,7,0.662847330165357
"13",68,156,13,33,3,0,4,48,17,0,2,10,2,29,7,7,0.575549450549451
"14",114,297,30,81,14,0,8,119,58,2,1,23,6,45,7,7,0.738096713556836
"15",89,314,54,96,25,2,7,146,57,2,3,23,7,37,4,4,0.831247222633684
"16",133,462,58,130,29,1,18,215,86,0,0,41,8,56,13,11,0.815661507442329
"17",126,435,64,126,20,2,21,213,53,1,1,36,10,34,13,13,0.847243530002151
"18",129,439,60,122,20,0,24,214,71,0,0,34,12,51,16,5,0.833863278773219
"19",110,347,34,100,17,0,6,135,41,1,1,36,8,47,8,6,0.757335436367255
"20",110,358,28,103,22,0,6,143,47,1,2,29,5,37,18,4,0.74893113670049
"21",122,362,28,89,12,0,5,116,39,0,1,49,7,38,9,4,0.667331941103386
"22",105,272,34,76,7,0,11,116,45,1,1,30,1,41,6,3,0.779605901766647
"23",57,142,10,33,3,1,3,47,20,1,2,15,4,23,5,2,0.653967281952585
"24",100,259,36,68,8,0,10,106,28,0,0,45,2,57,7,4,0.785083402730462
"25",112,286,26,78,7,0,10,115,42,1,0,35,3,53,10,6,0.760122593455927
"26",114,313,27,96,15,1,6,131,57,0,0,17,7,46,6,3,0.774613437491112
"27",101,181,22,49,9,0,6,76,36,0,0,12,5,28,5,4,0.753222836095764
"28",39,68,8,22,2,0,3,33,10,0,0,4,0,9,3,0,0.84640522875817
"29",104,214,20,52,11,2,2,73,18,1,4,5,2,56,7,9,0.608
"30",126,410,40,103,20,0,9,150,53,4,1,23,11,78,5,12,0.673
"31",125,413,48,112,20,0,14,174,68,1,4,37,4,88,10,11,0.756
"32",122,435,51,127,25,1,19,211,82,2,4,49,7,77,13,6,0.85
"33",83,262,36,68,13,0,9,108,30,0,0,33,3,44,9,6,0.758
"34",117,410,66,125,19,1,23,215,72,2,7,42,8,65,16,11,0.9
"35",124,450,63,130,25,2,19,216,66,4,6,47,8,81,18,15,0.846
"36",119,400,41,109,21,0,19,187,66,0,1,44,8,97,9,3,0.823
"37",105,327,48,77,13,0,11,123,57,4,1,60,11,87,5,8,0.742
"38",98,310,37,71,14,2,16,137,40,1,2,33,13,92,6,3,0.767
"39",123,380,63,118,18,1,35,243,86,0,0,60,14,112,14,8,1.06
"40",116,381,65,123,26,0,20,209,72,4,0,66,10,91,7,4,0.982
"41",130,456,62,130,22,1,22,220,68,0,2,41,15,104,15,11,0.843
"42",129,427,46,115,14,0,22,195,71,0,0,29,14,96,11,8,0.788
"43",138,527,108,153,32,2,29,276,84,3,5,52,3,124,4,6,0.88
"44",89,130,16,27,3,1,6,50,20,0,2,11,3,35,5,1,0.669337606837607
"45",43,65,6,9,0,1,2,17,11,0,1,12,1,17,1,4,0.543589743589744
"46",94,182,25,45,10,0,6,73,20,2,0,27,4,44,6,3,0.75790641283599
"47",93,133,16,29,7,1,4,50,25,1,1,19,4,28,7,2,0.709273182957393
"48",91,135,11,37,4,0,4,53,17,0,1,13,0,24,5,3,0.73043043043043
"49",71,119,12,32,8,0,4,52,17,0,2,14,3,18,2,2,0.797268907563025
"50",54,76,9,19,4,0,2,29,14,2,2,13,3,21,0,3,0.762013729977117
"51",107,251,32,72,9,1,9,110,30,2,2,34,11,51,5,0,0.833517282222461
"52",77,167,16,29,8,1,2,45,17,2,0,15,2,53,3,0,0.519461077844311
"53",26,30,4,6,2,0,0,8,2,1,1,5,1,9,0,0,0.6
"54",64,89,16,21,7,1,2,36,11,2,0,6,1,28,1,1,0.696161048689139
"55",93,160,30,40,6,1,5,63,25,6,1,16,2,43,4,1,0.719592696629213
"56",40,72,14,17,2,1,1,24,5,2,1,10,1,20,0,1,0.670682730923695
"57",48,102,12,24,3,1,1,32,10,2,1,18,2,30,2,0,0.674381227900996
"58",87,128,16,30,6,1,4,50,16,4,3,13,1,33,2,1,0.700484154929577
"59",83,142,20,40,9,1,1,54,13,4,2,16,5,25,4,2,0.754514818975201
"60",81,134,27,37,8,0,3,54,14,3,4,19,3,28,3,1,0.781190202831994
"61",126,449,89,139,24,2,20,227,78,20,3,69,4,61,15,4,0.911698196929746
"62",89,232,38,55,12,0,4,79,26,8,0,40,2,44,8,4,0.694531839919456
"63",52,146,14,39,7,1,1,51,18,3,1,17,2,24,3,1,0.700830220008302
"64",102,235,30,60,10,1,6,90,38,5,3,28,2,49,5,2,0.722601364913689
"65",32,82,11,17,5,0,0,22,5,3,0,14,1,19,5,0,0.598189590143324
"66",18,38,4,7,3,0,0,10,3,0,0,2,0,12,0,5,0.483
"67",85,248,42,62,14,2,5,95,31,2,2,7,3,67,5,12,0.655
"68",69,184,14,47,10,0,3,66,31,1,1,18,3,57,2,11,0.689
"69",116,362,36,98,18,1,8,142,47,3,1,31,5,65,12,13,0.728948610455593
"70",133,476,73,136,33,2,23,242,81,3,2,45,4,81,18,15,0.86078431372549
"71",133,449,60,135,30,2,12,205,58,2,2,61,7,87,14,23,0.849220059190206
"72",123,444,53,125,22,2,9,178,63,4,6,43,9,62,12,13,0.757755739610578
"73",124,436,77,137,32,0,25,244,82,21,5,71,6,78,16,12,0.9767870236243
"74",126,450,67,131,21,1,22,220,96,15,8,68,6,109,18,15,0.88011026293469
"75",117,418,103,149,36,2,40,309,117,3,3,68,13,106,8,9,1.20015629344814
"76",45,68,5,16,3,0,0,19,1,0,0,4,0,17,3,0,0.553
"77",93,208,32,55,5,4,0,68,14,4,2,8,1,44,1,11,0.621
"78",90,264,30,54,8,3,0,68,12,9,4,13,3,51,2,12,0.508
"79",104,298,36,81,13,3,0,100,27,7,3,15,0,46,2,11,0.643
"80",135,412,58,125,9,3,0,140,24,12,7,26,0,57,4,16,0.684
"81",83,193,20,50,5,2,0,59,8,3,4,12,1,34,1,4,0.612
"82",51,161,27,51,12,0,5,78,19,8,2,7,7,40,1,3,0.855900621118012
"83",94,250,42,50,14,0,3,73,11,11,3,23,16,45,4,4,0.599958477508651
"84",120,370,40,89,14,2,4,119,29,16,4,21,12,80,6,3,0.624351150157602
"85",124,394,68,98,8,5,1,119,37,10,4,50,16,67,6,2,0.658552195983227
"86",31,87,14,19,5,0,0,24,5,2,0,6,0,13,4,0,0.544679273266592
"87",97,195,31,49,9,0,3,67,19,3,2,15,5,33,5,2,0.664519976147883
"88",110,281,32,76,12,0,3,97,29,8,9,38,5,48,10,1,0.71247968015465
"89",93,312,31,85,14,0,1,102,31,4,8,34,6,54,11,2,0.682036713286713
"90",73,187,21,45,5,0,1,53,14,0,2,18,2,35,2,2,0.597432121728797
"91",27,59,5,10,4,0,0,14,7,0,0,2,4,13,3,0,0.483441981747067
"92",117,456,74,129,31,0,21,223,62,16,8,25,5,87,11,25,0.816195581546459
"93",116,315,38,85,15,5,2,116,29,14,10,24,12,59,6,11,0.712983312983313
"94",126,444,89,119,29,1,12,186,66,36,10,61,17,105,9,9,0.796313554934245
"95",126,427,84,114,15,3,9,162,70,39,9,74,14,109,10,9,0.771624110411314
"96",85,281,59,66,11,3,6,101,29,12,4,33,13,76,3,6,0.701938250242145
"97",100,293,53,60,10,1,6,90,35,11,3,34,14,67,4,7,0.623882778016875
"98",93,176,31,37,5,1,3,53,16,6,6,18,7,50,4,5,0.60959407507915
"99",58,151,33,40,10,1,3,61,26,7,1,13,3,28,5,5,0.73930285125114
"100",52,94,18,27,2,0,1,32,7,1,1,11,0,18,3,2,0.702330293819656
"101",41,67,13,22,1,0,3,32,11,4,2,6,3,22,4,4,0.885506677140613
"102",47,87,8,15,5,1,2,28,13,0,0,6,0,31,0,0,0.547645532072673
"103",42,123,6,35,9,0,1,47,12,1,0,12,0,30,1,0,0.73026196928636
"104",92,122,14,35,9,0,2,50,23,0,2,11,2,33,1,1,0.765391621129326
"105",44,100,14,29,4,0,0,33,12,0,0,6,0,21,0,1,0.660188679245283
"106",54,105,12,26,5,4,1,42,9,7,6,5,0,26,0,0,0.679
"107",119,407,81,126,25,4,10,189,51,22,14,25,6,81,10,3,0.822
"108",133,527,92,176,22,9,8,240,72,28,14,28,5,103,10,1,0.825
"109",123,426,70,133,24,8,8,197,54,16,4,22,3,92,11,5,0.811
"110",102,330,47,92,22,0,6,132,54,17,4,15,1,96,2,3,0.709
"111",116,410,97,143,33,5,11,219,57,17,7,45,6,79,3,13,0.951
"112",108,428,105,147,19,13,14,234,77,10,5,55,5,68,4,7,0.967
"113",144,564,108,175,39,10,21,297,107,10,4,63,10,138,1,5,0.91
"114",116,478,100,159,26,5,20,255,84,10,0,43,5,110,4,4,0.925
"115",58,151,28,42,11,0,4,65,24,1,1,21,1,36,1,1,0.798
"116",57,86,15,18,3,0,3,30,17,0,0,5,4,23,2,0,0.63
"117",126,481,75,142,29,4,30,269,108,36,17,53,7,107,7,2,0.932634184020506
"118",96,331,77,108,16,0,27,205,69,22,14,66,4,59,5,2,1.06322562174624
"119",119,428,86,114,25,2,30,233,84,43,19,66,9,83,13,1,0.920138050203452
"120",129,482,83,142,27,1,24,243,98,17,13,79,6,85,10,2,0.904502111279428
"121",132,489,101,151,31,5,32,288,115,30,14,64,7,77,15,2,0.985385626643295
"122",127,489,75,139,20,3,18,219,80,7,7,74,2,86,12,5,0.828383734187524
"123",112,432,57,120,24,0,15,189,67,12,8,41,4,94,10,7,0.783411949685535
"124",108,392,71,118,15,5,19,200,66,14,9,60,1,84,11,2,0.905347569491373
"125",73,186,29,47,9,1,7,79,29,7,5,35,0,37,8,0,0.795771906777599
